product_category,product_name,product_img_url,product_source,product_price,idx
shorts,MANGO,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18233648/2022/5/26/2f944a64-4a33-4f54-b7e6-644e7936f15b1653544159321MANGOWomenWhiteExtendedSleevesPureCottonT-shirtTopsMANGOWome1.jpg",shorts/mango/mango-women-blue-pure-cotton-washed-denim-shorts/18233648/buy,None,1984
shorts,Athena,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17256458/2022/3/8/2fb640aa-c169-4051-b361-3f9c430afc931646735098252-Athena-Green-shorts-4141646735097725-1.jpg",shorts/athena/athena-women-green-shorts/17256458/buy,Rs. 839,1633
flats,Shezone,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18310870/2022/5/18/3dabceaf-f0a6-40bb-be34-c71e28e401771652866170872ShezoneWomenGreenEmbellishedOpenToeFlatswithBows1.jpg",flats/shezone/shezone-women-green-embellished-open-toe-flats-with-bows/18310870/buy,Rs. 899,1405
heels,WALKWAY,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2021/7/8/40deac71-17cd-40e4-91f8-fed2b2143e711625746769912-1.jpg",heels/walkway/walkway-black-wedge-sandals-with-laser-cuts/14791146/buy,Rs. 479,2591
flats,Anouk,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/13349588/2021/4/12/1377e6ab-55ff-469b-9c78-144e6c60ea771618224784023-Anouk-Women-Fluorescent-Green-Braided--Tasselled-One-Toe-Fla-1.jpg",flats/anouk/anouk-women-fluorescent-green-braided--tasselled-one-toe-flats/13349588/buy,Rs. 799,2292
skirt,River Of Design Jeans,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15153684/2021/8/16/b2a283d4-61ac-40ac-a94a-3a81feb3bc7e1629130522842WomenPinkPureCottonA-LineSkirt1.jpg",skirts/river-of-design-jeans/river-of-design-jeans-women-pink-solid-denim-a-line-skirt/15153684/buy,Rs. 493,946
jacket,Ducati,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/14601078/2021/11/24/e38d385e-a015-4069-b283-6a780af4999d1637745226709-Ducati-Men-Jackets-41637745226077-1.jpg",jackets/ducati/ducati-men-yellow-solid-stand-collared-pullover-tailored-jacket/14601078/buy,Rs. 2399,2608
skirt,MANGO,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15035198/2021/9/1/387470bc-8373-4f94-b52d-ac120f309e4c1630482039414-MANGO-Women-Cream-Coloured-Cotton-Solid-Straight-Skirt-59316-1.jpg",skirts/mango/mango-women-cream-coloured-cotton-solid-straight-skirt/15035198/buy,Rs. 984,106
flats,Carlton London sports,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16682388/2022/1/5/742a1a02-77a4-4a97-91fd-956b1d57ef431641372615551CarltonLondonsportsWomenBlackBallerinaswithBowsFlats1.jpg",flats/carlton-london-sports/carlton-london-sports-women-black-solid-ballerinas-/16682388/buy,Rs. 989,797
pants,Chkokko,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16829452/2022/1/15/b0b87e3f-c477-4e2f-b0ac-534350b2a55c1642225337856TrackPants1.jpg",track-pants/chkokko/chkokko-men-cream-solid-track-pants/16829452/buy,Rs. 299,536
